                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190423
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190423


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 27792936.95  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               27678580.47
平仓盈亏 Realized P/L：                   12615.00  质 押 金 Pledge Amount：              4864000.00
持仓盯市盈亏 MTM P/L：                    -6400.00  客户权益 Client Equity：：           27678580.47
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1296.48  保证金占用 Margin Occupied：         16246854.37
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     643865.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      27034715.47
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               11431726.10
权利金收入 Premium received：              6950.00  风 险 度 Risk Degree：                    58.70%
权利金支出 Premium paid：                126225.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                      质押明细 Warrant Pledge  
----------------------------------------------------------------------
| 交易日期 |质押品种代码|  质押品种名称  | 质押数量 |    质押金额    |
|Trans.Date|    Code    |      Name      |   Qty    |     Amount     |
----------------------------------------------------------------------
|20190423  |CF          |一号棉花          |        80|      4864000.00|
----------------------------------------------------------------------

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      2|        160.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      2|        158.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      3|        158.000|           1.000|           1.000|        0.00|       0.00|   52365.00|                 15.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      2|        160.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      2|        160.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      5|        165.000|           1.000|           1.000|        0.00|       0.00|   87275.00|                 25.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        168.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      1|        168.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190313|投机        |   卖|      3|        168.000|           1.000|           1.000|        0.00|       0.00|   52365.00|                 15.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190314|投机        |   卖|      2|        110.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      5|        105.000|           1.000|           1.000|        0.00|       0.00|   87275.00|                 25.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      1|        110.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      1|        110.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      2|        110.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      1|        110.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      2|        107.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      2|        107.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190318|投机        |   卖|      1|        107.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190319|投机        |   卖|      1|        105.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190319|投机        |   卖|      1|        104.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190319|投机        |   卖|      1|        105.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190319|投机        |   卖|      1|        105.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190320|投机        |   卖|      2|        105.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190320|投机        |   卖|      1|        106.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190320|投机        |   卖|      1|        106.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190320|投机        |   卖|      1|        106.000|           1.000|           1.000|        0.00|       0.00|   17455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190320|投机        |   卖|      2|        106.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190321|投机        |   卖|      2|        100.000|           1.000|           1.000|        0.00|       0.00|   34910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905C52000  | 20190401|投机        |   卖|     20|         68.000|           1.000|           1.000|        0.00|       0.00|  349100.00|                100.00|
| 上期所 |      铜期权      |  cu1905C54000  | 20190301|投机        |   卖|      1|        116.000|           1.000|           1.000|        0.00|       0.00|   12455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C54000  | 20190301|投机        |   卖|      1|        118.000|           1.000|           1.000|        0.00|       0.00|   12455.00|                  5.00|
| 上期所 |      铜期权      |  cu1905C54000  | 20190301|投机        |   卖|      8|        120.000|           1.000|           1.000|        0.00|       0.00|   99640.00|                 40.00|
| 上期所 |      铜期权      |  cu1905C54000  | 20190301|投机        |   卖|      2|        128.000|           1.000|           1.000|        0.00|       0.00|   24910.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P46000  | 20190305|投机        |   卖|      2|         75.000|           1.000|           1.000|        0.00|       0.00|   33410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P46000  | 20190305|投机        |   卖|      2|         77.000|           1.000|           1.000|        0.00|       0.00|   33410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P46000  | 20190305|投机        |   卖|      2|         78.000|           1.000|           1.000|        0.00|       0.00|   33410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P46000  | 20190305|投机        |   卖|      2|         78.000|           1.000|           1.000|        0.00|       0.00|   33410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P46000  | 20190305|投机        |   卖|      2|         78.000|           1.000|           1.000|        0.00|       0.00|   33410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        125.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        112.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        112.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        113.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        116.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        115.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        116.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        117.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        118.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        118.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        119.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        118.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        118.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        118.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        118.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        120.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        120.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        120.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        120.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        120.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        121.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        121.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        122.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        122.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        120.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        122.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        122.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        125.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        126.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        126.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        126.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        126.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        126.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        126.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        127.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        127.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        126.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        126.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      1|        130.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        130.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190304|投机        |   卖|      2|        129.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      2|        158.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      2|        156.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      2|        155.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      2|        155.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        155.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      5|        158.000|           1.000|           1.000|        0.00|       0.00|   96025.00|                 25.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      2|        160.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        160.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        162.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        162.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        162.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190305|投机        |   卖|      1|        162.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190311|投机        |   卖|      2|        170.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190311|投机        |   卖|      2|        170.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190311|投机        |   卖|      1|        170.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190311|投机        |   卖|      2|        176.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190311|投机        |   卖|      1|        176.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190311|投机        |   卖|      2|        176.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      2|        135.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      2|        138.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      1|        139.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      3|        145.000|           1.000|           1.000|        0.00|       0.00|   57615.00|                 15.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      1|        145.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      1|        145.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      1|        150.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      3|        150.000|           1.000|           1.000|        0.00|       0.00|   57615.00|                 15.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      1|        150.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      1|        152.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      2|        152.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      2|        152.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190315|投机        |   卖|      2|        160.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        105.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        108.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        112.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        116.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        120.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        125.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        128.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        138.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        150.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        175.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        175.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        180.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        180.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      2|        185.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        195.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190325|投机        |   卖|      1|        195.000|           1.000|           1.000|        0.00|       0.00|   19205.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190326|投机        |   卖|      2|        119.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P47000  | 20190326|投机        |   卖|      2|        118.000|           1.000|           1.000|        0.00|       0.00|   38410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      2|        210.000|           1.000|           1.000|        0.00|       0.00|   43410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      2|        215.000|           1.000|           1.000|        0.00|       0.00|   43410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      2|        215.000|           1.000|           1.000|        0.00|       0.00|   43410.00|                 10.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        205.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        205.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        205.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        205.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        210.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
| 上期所 |      铜期权      |  cu1905P48000  | 20190321|投机        |   卖|      1|        220.000|           1.000|           1.000|        0.00|       0.00|   21705.00|                  5.00|
